customer_id,age,gender,household_size,annual_income,cleaning_frequency,willingness_to_adopt_robotics,preferred_features,customer_satisfaction
47,28,Male,1,72404,Daily,Low,App Connectivity,4.3
48,56,Female,1,78947,Twice a week,Medium,Auto Scheduling,4.6
49,22,Female,1,51895,Twice a week,Low,Allergen Filtration,3.5
50,22,Female,1,28000,Every few days,Low,Allergen Filtration,4.4
51,22,Female,1,69603,Twice a week,High,Mapping & Navigation,5.0
52,70,Male,1,101884,Every few days,High,Mapping & Navigation,3.8
53,22,Female,4,28000,Daily,Low,Auto Scheduling,4.3
54,22,Female,1,31071,Daily,High,Self-charging,4.8
55,43,Female,4,28000,Weekly,Low,Auto Scheduling,3.7
56,22,Female,1,35524,Daily,Medium,Self-charging,4.3
57,32,Female,2,150000,Every few days,Medium,UV-C Sterilization,2.2
58,22,Male,1,28000,Every few days,Medium,UV-C Sterilization,4.5
59,54,Female,1,28000,Daily,High,Self-charging,5.0
60,22,Female,1,28000,Every few days,High,Smart Home Integration,2.7
61,52,Female,1,28000,Daily,Low,Noise Levels,3.6
62,54,Female,1,28000,Daily,Low,Mapping & Navigation,3.9
63,22,Female,1,50018,Daily,High,Allergen Filtration,4.5
64,22,Male,1,28000,Daily,Low,Automatic Software Update,3.8
65,53,Female,1,29096,Twice a week,Low,Mapping & Navigation,4.3
66,59,Female,1,28000,Weekly,Low,UV-C Sterilization,3.4
67,68,Male,1,41935,Twice a week,High,Voice Control,4.1
68,47,Female,4,99855,Every few days,Low,App Connectivity,3.7
69,58,Female,5,28000,Every few days,Low,Pet Hair Removal,3.5
70,46,Female,1,101055,Daily,Medium,Allergen Filtration,3.9
71,62,Female,1,146705,Every few days,Medium,Auto Scheduling,4.4
72,22,Female,1,28000,Weekly,High,Auto Scheduling,3.6
73,30,Female,1,53326,Every few days,Medium,Smart Home Integration,4.3
74,42,Female,1,93585,Daily,Medium,Voice Control,5.0
75,45,Male,1,28000,Every few days,High,Mapping & Navigation,3.0
76,28,Female,1,28000,Daily,High,Auto Scheduling,3.6
77,43,Male,1,86739,Weekly,Low,App Connectivity,3.9
78,36,Male,1,28000,Weekly,Medium,Voice Control,3.5
79,34,Male,1,40478,Every few days,Low,Voice Control,4.4
80,30,Female,2,69659,Every few days,High,App Connectivity,2.2
81,36,Female,1,46845,Twice a week,Medium,Voice Control,3.1
82,22,Female,3,71553,Twice a week,Low,Auto Scheduling,2.2
83,28,Male,1,133553,Daily,Medium,Auto Scheduling,4.4
84,22,Female,1,48936,Weekly,Low,Smart Home Integration,4.9
85,22,Male,2,28000,Every few days,Low,Noise Levels,3.3
86,25,Male,1,65565,Weekly,Low,Auto Scheduling,5.0
87,37,Male,1,28000,Every few days,Low,Smart Home Integration,3.0
88,70,Female,3,68965,Every few days,Medium,App Connectivity,5.0
89,28,Male,1,28000,Weekly,High,Voice Control,3.3
90,30,Female,4,28000,Daily,Medium,Auto Scheduling,2.9
91,34,Male,1,28000,Twice a week,High,App Connectivity,5.0
92,34,Female,4,115275,Daily,High,Self-charging,4.6
93,39,Female,1,102101,Weekly,High,UV-C Sterilization,3.2
94,22,Male,1,105448,Daily,High,Mapping & Navigation,3.0
95,46,Female,1,150000,Every few days,High,UV-C Sterilization,4.0
96,44,Female,1,28000,Every few days,High,Pet Hair Removal,4.9
97,22,Female,2,28000,Daily,Low,Noise Levels,3.6
98,31,Female,3,35346,Every few days,Low,Mapping & Navigation,3.3
99,36,Male,3,88732,Twice a week,Medium,Voice Control,2.8
100,62,Male,1,41608,Daily,Low,UV-C Sterilization,3.1
101,70,Male,1,65401,Daily,High,Auto Scheduling,4.2
102,64,Female,3,78286,Daily,Medium,Smart Home Integration,4.2
103,22,Female,1,42580,Daily,Low,Pet Hair Removal,3.1
104,22,Female,1,149201,Daily,High,Mapping & Navigation,4.7
105,22,Female,1,72555,Every few days,Low,App Connectivity,4.5
106,65,Female,1,59780,Every few days,High,Pet Hair Removal,4.6
107,31,Female,1,28000,Weekly,Medium,Pet Hair Removal,4.1
108,22,Female,1,88222,Daily,Low,Automatic Software Update,3.7
109,22,Female,1,106755,Weekly,High,Pet Hair Removal,4.1
110,70,Female,3,33374,Weekly,Medium,Pet Hair Removal,3.6
111,59,Female,1,108517,Every few days,Low,Smart Home Integration,2.6
112,61,Female,1,71019,Daily,Medium,Self-charging,5.0
113,28,Female,1,28000,Twice a week,Medium,Voice Control,2.9
114,39,Female,1,28000,Daily,Low,Smart Home Integration,5.0
115,51,Female,1,28000,Weekly,Medium,Voice Control,3.6
116,38,Female,3,150000,Every few days,Medium,App Connectivity,4.2
117,61,Male,1,83743,Daily,Medium,Self-charging,4.6
118,46,Male,1,89466,Daily,High,Voice Control,3.9
119,56,Female,1,28000,Twice a week,High,Automatic Software Update,3.4
120,22,Female,1,28000,Every few days,Low,Pet Hair Removal,3.3
121,24,Male,1,53286,Daily,High,Allergen Filtration,4.0
122,32,Female,1,56480,Daily,Low,Self-charging,3.5
123,34,Male,1,30325,Twice a week,High,Self-charging,4.7
124,62,Female,5,68412,Every few days,High,Noise Levels,3.4
125,51,Male,1,33771,Weekly,High,Self-charging,2.2
126,22,Female,1,101649,Weekly,High,Allergen Filtration,4.8
127,70,Female,1,115129,Every few days,Medium,Automatic Software Update,4.0
128,56,Male,3,113117,Every few days,Medium,Allergen Filtration,5.0
129,70,Male,1,68604,Weekly,Low,Allergen Filtration,3.6
130,22,Female,2,52127,Daily,High,UV-C Sterilization,3.0
131,41,Female,3,28000,Weekly,Medium,App Connectivity,4.2
132,22,Male,1,28000,Every few days,High,Mapping & Navigation,3.4
133,55,Female,1,28000,Weekly,Low,Auto Scheduling,3.1
134,49,Male,2,28000,Twice a week,High,Allergen Filtration,3.4
135,22,Female,1,28000,Weekly,High,UV-C Sterilization,2.2
136,40,Female,1,38122,Daily,Medium,Mapping & Navigation,3.8
137,41,Female,1,28000,Weekly,High,Pet Hair Removal,3.8
138,70,Male,1,74587,Daily,High,Auto Scheduling,4.8
139,22,Male,1,67543,Every few days,Medium,App Connectivity,3.7
140,22,Female,2,76092,Every few days,High,Voice Control,2.4
141,22,Male,1,52107,Weekly,Low,Noise Levels,3.2
142,27,Male,4,150000,Every few days,Medium,Auto Scheduling,4.4
143,35,Female,4,28000,Daily,High,Voice Control,3.2
144,31,Male,1,28000,Daily,Low,Auto Scheduling,4.0
145,25,Male,1,73871,Weekly,Medium,Self-charging,4.0
146,29,Male,3,28000,Weekly,Medium,Pet Hair Removal,3.0
147,65,Female,3,28000,Every few days,Medium,App Connectivity,3.8
148,37,Female,4,47083,Every few days,High,Self-charging,2.2
149,66,Female,2,88852,Every few days,Medium,Pet Hair Removal,3.6
150,25,Male,5,28000,Weekly,High,Self-charging,4.1
151,22,Female,1,28599,Weekly,High,App Connectivity,3.8
152,22,Female,1,28000,Weekly,Low,Smart Home Integration,5.0
153,22,Male,1,28000,Weekly,High,Automatic Software Update,4.4
154,22,Female,1,150000,Daily,Low,App Connectivity,3.7
155,58,Female,1,30700,Weekly,High,Noise Levels,4.4
156,22,Female,1,28000,Daily,High,Mapping & Navigation,4.3
157,51,Female,1,143772,Every few days,High,Smart Home Integration,3.4
158,60,Female,5,28000,Every few days,Medium,Pet Hair Removal,3.8
159,23,Female,1,150000,Every few days,Medium,Smart Home Integration,4.8
160,62,Female,1,45891,Weekly,High,Mapping & Navigation,4.6
161,22,Male,2,95821,Twice a week,High,Voice Control,3.6
162,43,Female,1,84799,Daily,Medium,Smart Home Integration,4.6
163,65,Female,3,28000,Weekly,High,Automatic Software Update,2.6
164,70,Female,4,59232,Weekly,Low,Automatic Software Update,2.7
165,25,Female,1,28000,Every few days,High,UV-C Sterilization,3.0
166,22,Female,1,150000,Twice a week,High,UV-C Sterilization,3.9
167,22,Female,1,68668,Weekly,Low,Pet Hair Removal,3.7
168,25,Female,1,92370,Twice a week,Medium,Self-charging,4.9
169,24,Female,1,107732,Weekly,Medium,App Connectivity,4.5
170,22,Female,1,81571,Daily,High,Automatic Software Update,4.8
171,22,Female,1,37811,Weekly,High,UV-C Sterilization,3.1
172,55,Female,1,28000,Every few days,Low,Mapping & Navigation,3.0
173,56,Male,1,81575,Every few days,Low,Noise Levels,3.7
174,27,Female,1,28000,Weekly,Low,Smart Home Integration,2.2
175,31,Female,1,46338,Weekly,Low,UV-C Sterilization,4.1
176,41,Male,1,28000,Every few days,High,Smart Home Integration,5.0
177,40,Male,1,81056,Daily,High,Pet Hair Removal,3.5
178,45,Female,1,150000,Daily,High,Noise Levels,3.0
179,67,Female,4,28000,Daily,Medium,Allergen Filtration,3.3
180,34,Female,1,122486,Every few days,High,Mapping & Navigation,4.3
181,22,Female,5,74761,Weekly,Low,Allergen Filtration,2.2
182,57,Female,1,146124,Daily,High,Voice Control,3.9
183,22,Male,1,28000,Twice a week,Low,Voice Control,2.2
184,70,Male,5,28000,Every few days,Low,Auto Scheduling,3.8
185,22,Female,1,125449,Weekly,High,App Connectivity,5.0
186,22,Female,1,149060,Weekly,High,Smart Home Integration,5.0
187,22,Female,1,37518,Weekly,Low,Automatic Software Update,4.5
188,51,Female,1,28000,Twice a week,High,Allergen Filtration,4.8
189,27,Male,1,150000,Weekly,High,UV-C Sterilization,2.2
190,41,Female,2,28000,Weekly,Medium,Self-charging,4.0
191,27,Male,1,94489,Daily,Low,Self-charging,4.2
192,22,Female,3,109249,Weekly,High,Automatic Software Update,4.2
193,61,Female,2,41153,Weekly,Medium,Smart Home Integration,4.1
194,51,Male,1,98602,Daily,High,Allergen Filtration,4.0
195,52,Female,3,144060,Weekly,Medium,Mapping & Navigation,4.1
196,22,Female,4,81178,Daily,Medium,Smart Home Integration,3.5
197,47,Female,2,30684,Daily,Medium,Pet Hair Removal,4.9
198,48,Female,1,28000,Every few days,Low,Pet Hair Removal,2.7
199,22,Female,2,32395,Weekly,Medium,Noise Levels,4.0
200,70,Male,4,72853,Every few days,High,Automatic Software Update,4.4
201,22,Female,2,32273,Weekly,High,Self-charging,4.5
202,63,Male,2,77790,Every few days,Low,Self-charging,3.4
203,22,Female,1,76448,Twice a week,Medium,Noise Levels,3.3
204,70,Female,1,28000,Daily,High,App Connectivity,3.0
205,28,Male,2,32772,Daily,Low,Voice Control,2.8
206,39,Male,1,150000,Daily,High,Noise Levels,4.0
207,22,Female,1,79453,Every few days,High,Mapping & Navigation,4.0
208,49,Female,1,54486,Daily,Low,Voice Control,3.1
209,22,Female,1,32569,Weekly,High,App Connectivity,4.7
210,45,Female,1,150000,Daily,Medium,Auto Scheduling,5.0
211,34,Female,1,55681,Twice a week,Low,Self-charging,3.2
212,22,Female,1,28000,Every few days,Medium,Voice Control,3.1
213,31,Male,4,28000,Daily,Medium,Automatic Software Update,4.7
214,26,Male,1,150000,Weekly,High,UV-C Sterilization,3.8
215,35,Female,1,55820,Weekly,Medium,Pet Hair Removal,2.9
216,61,Male,1,52051,Every few days,High,Pet Hair Removal,3.0
217,22,Female,1,55263,Twice a week,Low,UV-C Sterilization,2.7
218,25,Male,1,31237,Daily,Medium,App Connectivity,4.4
219,62,Female,3,56240,Every few days,Low,Self-charging,3.6
220,37,Female,2,68795,Every few days,Medium,Auto Scheduling,4.4
221,22,Female,1,150000,Weekly,Medium,Voice Control,5.0
222,42,Female,1,70762,Every few days,Low,App Connectivity,4.1
223,22,Female,1,100748,Daily,Medium,UV-C Sterilization,5.0
224,22,Female,2,122424,Weekly,High,UV-C Sterilization,3.3
225,22,Female,1,28000,Weekly,Low,Pet Hair Removal,5.0
226,22,Female,1,78141,Weekly,Medium,Automatic Software Update,3.3
227,41,Female,1,77276,Weekly,High,Automatic Software Update,5.0
228,22,Female,1,28000,Weekly,High,Smart Home Integration,3.8
229,41,Male,1,146371,Every few days,Medium,Mapping & Navigation,4.9
230,70,Female,1,28000,Weekly,Low,UV-C Sterilization,4.4
231,36,Male,1,150000,Every few days,High,Allergen Filtration,4.9
232,32,Female,1,57798,Daily,High,Mapping & Navigation,4.1
233,45,Male,4,28000,Daily,Low,Allergen Filtration,3.9
234,22,Male,5,97789,Every few days,Medium,Noise Levels,3.5
235,60,Female,1,45853,Weekly,High,Noise Levels,4.1
236,22,Female,3,28000,Twice a week,Low,Voice Control,4.3
237,22,Female,4,28000,Weekly,Low,Self-charging,3.4
238,44,Male,2,28000,Every few days,High,Smart Home Integration,2.2
239,47,Male,4,54612,Every few days,High,Voice Control,3.1
240,30,Male,1,28000,Every few days,Low,Self-charging,2.9
241,52,Female,1,132641,Twice a week,Medium,Auto Scheduling,5.0
242,49,Male,2,59469,Daily,High,Auto Scheduling,4.3
243,22,Female,1,69523,Weekly,Medium,Auto Scheduling,5.0
244,38,Female,1,150000,Weekly,Medium,App Connectivity,3.4
245,34,Male,1,83839,Twice a week,High,Allergen Filtration,3.6
246,28,Male,4,28000,Twice a week,Medium,Automatic Software Update,4.3
247,59,Female,4,76082,Every few days,Medium,Noise Levels,5.0
248,57,Female,1,67395,Every few days,Low,Mapping & Navigation,5.0
249,22,Female,1,111182,Twice a week,Low,Allergen Filtration,3.7
250,70,Female,1,28000,Twice a week,Low,Smart Home Integration,3.3
251,28,Female,1,28000,Every few days,Medium,Smart Home Integration,4.9
252,55,Male,2,67208,Daily,Medium,App Connectivity,4.3
253,70,Female,4,150000,Twice a week,Medium,Pet Hair Removal,5.0
254,41,Female,3,28000,Twice a week,Medium,Noise Levels,4.0
255,22,Female,1,95998,Weekly,Medium,App Connectivity,5.0
256,25,Female,2,136926,Weekly,Medium,Smart Home Integration,5.0
257,22,Female,3,43394,Weekly,High,Smart Home Integration,4.2
258,22,Female,1,87398,Weekly,Medium,Automatic Software Update,3.3
259,22,Female,1,122568,Daily,Low,Allergen Filtration,3.0
260,52,Female,1,91059,Daily,Medium,Auto Scheduling,4.4
261,43,Female,1,89956,Every few days,Medium,Automatic Software Update,3.9
262,22,Female,1,28000,Weekly,High,Auto Scheduling,3.4
263,22,Female,2,134774,Every few days,High,Self-charging,4.0
264,36,Female,1,28000,Twice a week,High,Noise Levels,3.0
265,67,Male,1,33439,Every few days,High,Smart Home Integration,4.5
266,38,Male,1,28000,Daily,Medium,UV-C Sterilization,3.7
267,42,Male,3,28000,Every few days,High,Mapping & Navigation,3.3
268,22,Male,1,28000,Daily,Medium,Mapping & Navigation,4.1
269,22,Male,1,44552,Daily,Low,UV-C Sterilization,5.0
270,70,Female,3,110397,Daily,High,Noise Levels,2.2
271,70,Female,4,89696,Daily,Low,Pet Hair Removal,4.3
272,70,Female,1,54181,Daily,Medium,UV-C Sterilization,5.0
273,22,Male,2,102300,Twice a week,High,Mapping & Navigation,5.0
274,57,Male,1,65655,Daily,Low,App Connectivity,5.0
275,48,Female,1,28000,Weekly,High,Allergen Filtration,4.8
276,48,Male,1,50963,Every few days,High,Auto Scheduling,4.4
277,68,Female,2,124255,Daily,High,Mapping & Navigation,4.3
278,22,Male,1,28000,Weekly,High,App Connectivity,4.5
279,22,Female,1,39796,Every few days,High,Pet Hair Removal,3.1
280,59,Male,1,41117,Every few days,Medium,Auto Scheduling,3.5
281,70,Male,1,40180,Weekly,High,Voice Control,3.7
282,56,Male,1,28000,Daily,Low,Auto Scheduling,3.7
283,67,Female,1,126675,Every few days,Low,App Connectivity,2.6
284,24,Female,1,43278,Every few days,Medium,Self-charging,4.0
285,42,Female,1,28000,Twice a week,High,Allergen Filtration,4.8
286,22,Female,1,124218,Daily,Medium,Noise Levels,2.2
287,25,Male,3,67931,Daily,Medium,UV-C Sterilization,4.6
288,22,Male,5,28000,Twice a week,Low,App Connectivity,3.3
289,33,Male,1,76731,Twice a week,High,Mapping & Navigation,4.7
290,22,Female,1,28000,Twice a week,Low,Automatic Software Update,4.2
291,22,Female,1,28000,Daily,Low,Allergen Filtration,3.3
292,42,Female,1,60524,Twice a week,Medium,Allergen Filtration,3.5
293,22,Female,2,28000,Weekly,Medium,Allergen Filtration,3.0
294,43,Male,1,114242,Weekly,High,Mapping & Navigation,4.1
295,37,Female,1,91736,Twice a week,Medium,UV-C Sterilization,3.9
296,22,Female,1,111353,Every few days,Medium,Mapping & Navigation,4.0
297,28,Female,1,28000,Daily,High,Voice Control,4.9
298,70,Male,1,28000,Twice a week,Medium,Noise Levels,4.2
299,26,Female,1,128321,Twice a week,High,App Connectivity,3.3
300,22,Male,3,102959,Daily,Low,App Connectivity,3.5
301,37,Female,1,107977,Twice a week,Low,Pet Hair Removal,3.2
302,70,Male,1,28000,Twice a week,Low,Mapping & Navigation,5.0
303,22,Female,1,150000,Every few days,Low,UV-C Sterilization,5.0
304,42,Female,1,32690,Every few days,Medium,App Connectivity,4.8
305,34,Female,2,63260,Every few days,Medium,Allergen Filtration,5.0
306,59,Female,1,28000,Twice a week,Low,Smart Home Integration,4.4
307,22,Male,1,113356,Every few days,Low,Voice Control,3.9
308,50,Female,1,100143,Daily,Medium,Noise Levels,4.9
309,38,Female,1,86427,Every few days,Medium,Mapping & Navigation,3.9
310,29,Female,5,108976,Twice a week,High,UV-C Sterilization,2.4
311,22,Male,4,28000,Weekly,Low,Smart Home Integration,3.5
312,34,Female,1,29912,Weekly,Low,Automatic Software Update,3.0
313,22,Male,1,42178,Twice a week,High,UV-C Sterilization,4.6
314,70,Female,1,98787,Every few days,High,Voice Control,5.0
315,46,Male,5,28000,Every few days,Medium,Automatic Software Update,4.5
316,64,Male,1,47420,Daily,High,Voice Control,4.1
317,40,Female,1,65201,Weekly,High,Voice Control,4.4
318,70,Male,1,43074,Every few days,High,App Connectivity,4.2
319,23,Female,1,150000,Every few days,Medium,Smart Home Integration,5.0
320,25,Female,5,75888,Every few days,Low,Auto Scheduling,5.0
321,52,Female,1,38672,Every few days,Medium,App Connectivity,4.6
322,34,Female,1,28000,Twice a week,Low,Mapping & Navigation,5.0
323,40,Male,1,58938,Twice a week,Low,Allergen Filtration,2.5
324,36,Male,3,142934,Twice a week,Medium,Pet Hair Removal,3.6
325,52,Male,1,36783,Daily,High,Allergen Filtration,2.8
326,31,Male,1,107762,Weekly,High,Self-charging,3.8
327,39,Female,1,29535,Every few days,High,Smart Home Integration,5.0
328,70,Female,4,86072,Weekly,Medium,Smart Home Integration,3.7
329,50,Male,1,137542,Twice a week,Low,Pet Hair Removal,3.2
330,22,Female,1,49905,Twice a week,Low,Auto Scheduling,3.2
331,40,Male,1,28000,Twice a week,High,Allergen Filtration,4.3
332,22,Female,1,117479,Weekly,High,App Connectivity,5.0
333,22,Female,1,36684,Daily,Medium,UV-C Sterilization,5.0
334,22,Male,1,28000,Twice a week,High,Voice Control,2.8
335,35,Female,2,150000,Daily,Medium,Auto Scheduling,2.8
336,38,Female,1,150000,Daily,Medium,Smart Home Integration,5.0
337,47,Male,1,28000,Twice a week,Low,Mapping & Navigation,3.2
338,30,Female,2,100461,Daily,High,Allergen Filtration,3.0
339,69,Female,1,28000,Weekly,Low,Voice Control,3.3
340,22,Female,1,28000,Weekly,Medium,Self-charging,4.6
341,39,Female,1,28000,Every few days,Low,App Connectivity,2.2
342,22,Female,1,28000,Every few days,Medium,UV-C Sterilization,5.0
343,22,Male,1,114545,Twice a week,Low,Automatic Software Update,4.7
344,68,Female,5,28000,Every few days,Low,UV-C Sterilization,3.5
345,22,Female,2,49482,Every few days,Medium,UV-C Sterilization,3.8
346,53,Male,1,124261,Daily,Medium,Automatic Software Update,3.5
347,50,Male,1,28000,Every few days,High,Automatic Software Update,5.0
348,62,Female,1,28000,Daily,Medium,Allergen Filtration,2.4
349,65,Male,2,69427,Weekly,Low,Voice Control,4.6
350,22,Female,1,28000,Daily,Medium,Automatic Software Update,5.0
351,56,Female,1,53526,Daily,High,UV-C Sterilization,2.6
352,70,Male,1,116034,Twice a week,Low,Voice Control,2.2
353,22,Male,1,90158,Every few days,Low,Smart Home Integration,2.9
354,53,Female,1,28000,Daily,Medium,Automatic Software Update,4.3
355,22,Female,1,118169,Twice a week,Medium,Allergen Filtration,5.0
356,30,Female,1,150000,Daily,Medium,Mapping & Navigation,4.4
357,22,Female,2,28000,Weekly,High,Voice Control,4.2
358,46,Female,1,74520,Daily,High,Mapping & Navigation,3.5
359,43,Female,1,28000,Every few days,High,Allergen Filtration,3.7
360,56,Female,1,65882,Twice a week,Medium,Voice Control,3.1
361,28,Female,5,150000,Weekly,Low,Smart Home Integration,3.5
362,46,Female,1,28000,Weekly,High,Automatic Software Update,3.8
363,64,Male,5,28000,Daily,Low,UV-C Sterilization,3.0
364,66,Female,1,28000,Twice a week,Medium,Noise Levels,3.6
365,36,Female,5,95241,Every few days,Medium,Automatic Software Update,3.6
366,41,Female,3,150000,Daily,High,Pet Hair Removal,2.5
367,22,Male,1,74331,Twice a week,Medium,UV-C Sterilization,4.9
368,69,Male,2,107716,Weekly,Medium,Pet Hair Removal,4.0
369,46,Female,4,28000,Every few days,High,Allergen Filtration,3.2
370,23,Male,1,28000,Daily,Medium,Pet Hair Removal,5.0
371,45,Female,1,150000,Every few days,Low,Pet Hair Removal,3.2
372,32,Female,4,132947,Daily,Medium,Noise Levels,2.7
373,28,Male,1,137757,Every few days,Low,Noise Levels,3.6
374,22,Female,2,96322,Weekly,High,UV-C Sterilization,3.4
375,22,Female,2,39016,Weekly,Low,Mapping & Navigation,3.9
376,45,Female,1,150000,Daily,High,Automatic Software Update,2.6
377,22,Female,1,63081,Weekly,Low,Pet Hair Removal,4.0
378,69,Female,4,28000,Every few days,Medium,Mapping & Navigation,4.9
379,24,Female,1,45489,Weekly,Low,Self-charging,3.8
380,69,Female,1,28000,Weekly,Medium,Smart Home Integration,3.0
381,46,Female,3,85117,Every few days,Medium,Auto Scheduling,3.0
382,22,Male,1,142331,Daily,Medium,App Connectivity,5.0
383,22,Female,2,44177,Every few days,Medium,Mapping & Navigation,4.5
384,62,Female,4,56757,Every few days,High,App Connectivity,4.9
385,60,Male,5,28000,Twice a week,Low,Voice Control,4.6
386,22,Female,3,64004,Twice a week,Low,Auto Scheduling,3.0
387,69,Female,1,28000,Every few days,High,App Connectivity,4.2
388,31,Male,1,28000,Every few days,Medium,Automatic Software Update,3.5
389,29,Female,1,28000,Every few days,Low,Mapping & Navigation,5.0
390,22,Female,1,132396,Weekly,Low,Smart Home Integration,5.0
391,22,Female,1,66979,Daily,Low,Auto Scheduling,5.0
392,22,Female,3,150000,Weekly,Medium,Mapping & Navigation,3.4
393,34,Male,1,28000,Weekly,Low,Auto Scheduling,3.7
394,22,Female,4,111091,Weekly,Low,Allergen Filtration,3.9
395,55,Male,1,28000,Daily,High,Voice Control,4.0
396,24,Female,1,61872,Twice a week,Medium,Allergen Filtration,3.2
397,29,Female,1,28000,Twice a week,High,Allergen Filtration,5.0
398,22,Male,1,45288,Every few days,High,Self-charging,3.7
399,42,Female,1,134152,Daily,Medium,Allergen Filtration,3.8
400,22,Female,1,98596,Twice a week,Medium,Smart Home Integration,4.0
401,22,Female,1,28000,Weekly,Low,Voice Control,4.9
402,22,Female,2,28000,Every few days,Low,UV-C Sterilization,2.5
403,45,Female,1,80857,Twice a week,Low,Voice Control,4.7
404,28,Female,1,28000,Weekly,Low,Voice Control,2.2
405,29,Female,1,28000,Every few days,Low,Automatic Software Update,2.8
406,51,Female,3,28000,Every few days,Low,Noise Levels,2.2
407,22,Male,1,87471,Weekly,High,App Connectivity,5.0
408,36,Male,1,52657,Twice a week,Medium,Mapping & Navigation,2.2
409,22,Female,2,28000,Weekly,Low,Voice Control,4.2
410,32,Female,1,49283,Daily,Medium,App Connectivity,4.4
411,50,Male,1,28000,Daily,Medium,Noise Levels,4.1
412,40,Male,5,87678,Weekly,High,Mapping & Navigation,2.9
413,22,Male,1,91945,Weekly,Low,Mapping & Navigation,3.1
414,22,Female,1,148086,Every few days,High,Self-charging,4.2
415,32,Female,5,28000,Twice a week,Medium,Mapping & Navigation,4.4
416,39,Female,3,28000,Twice a week,Medium,Noise Levels,4.4
417,22,Male,5,114506,Daily,Medium,Automatic Software Update,2.6
418,27,Female,1,28000,Daily,High,Self-charging,3.7
419,65,Male,1,47108,Every few days,Low,Pet Hair Removal,4.1
420,45,Female,3,28000,Daily,Low,Automatic Software Update,3.3
421,69,Female,1,111678,Twice a week,Low,UV-C Sterilization,2.3
422,29,Female,1,28000,Weekly,Low,Noise Levels,3.9
423,22,Male,1,28000,Every few days,Low,Pet Hair Removal,3.9
424,22,Female,1,150000,Every few days,Low,Auto Scheduling,4.1
425,40,Male,1,28000,Weekly,High,Allergen Filtration,4.6
426,51,Male,1,28000,Every few days,High,Mapping & Navigation,2.6
427,70,Male,2,99203,Daily,Low,Smart Home Integration,5.0
428,53,Female,3,100961,Every few days,Medium,Automatic Software Update,5.0
