household_id,surface_type,room_size,dirtiness_level,cleaning_time,cleaning_efficiency,date_time
121,Concrete,33,5,23,0.88,2023-07-23 08:19:33
122,Tile,31,4,26,0.9,2023-07-20 13:35:51
123,Concrete,40,2,16,1.58,2023-07-21 21:14:40
124,Tile,20,4,30,0.74,2023-07-24 04:46:52
125,Wood,20,3,31,0.67,2023-07-21 03:20:43
126,Tile,30,1,19,1.57,2023-07-22 10:59:39
127,Tile,21,5,32,0.68,2023-07-23 15:00:09
128,Tile,20,2,30,0.77,2023-07-21 20:25:53
129,Carpet,38,5,20,1.4,2023-07-24 05:10:08
130,Tile,35,5,28,0.87,2023-07-24 05:02:12
131,Concrete,23,5,31,0.78,2023-07-23 19:40:15
132,Tile,36,2,19,1.3,2023-07-21 10:34:31
133,Carpet,21,4,28,0.85,2023-07-22 00:31:02
134,Tile,20,1,31,0.7,2023-07-20 09:55:02
135,Wood,40,2,16,1.48,2023-07-22 12:53:42
136,Wood,37,1,16,1.55,2023-07-22 23:32:00
137,Tile,28,2,22,1.4,2023-07-24 10:23:56
138,Tile,20,3,30,0.76,2023-07-21 10:28:28
139,Wood,39,4,17,1.33,2023-07-21 03:48:31
140,Tile,21,1,20,1.2,2023-07-21 17:49:44
141,Tile,29,2,23,1.28,2023-07-20 09:44:32
142,Carpet,40,5,27,0.97,2023-07-20 23:46:50
143,Carpet,21,3,21,0.99,2023-07-24 00:31:03
144,Wood,21,2,28,0.74,2023-07-20 14:28:23
145,Tile,22,2,21,0.75,2023-07-20 21:23:26
146,Wood,21,3,29,0.69,2023-07-21 20:52:33
147,Tile,40,2,15,1.53,2023-07-23 18:00:23
148,Tile,30,3,24,1.4,2023-07-21 08:18:14
149,Tile,23,2,19,0.71,2023-07-20 09:31:39
150,Wood,40,3,17,1.41,2023-07-21 11:19:50
151,Tile,24,4,29,1.11,2023-07-22 19:14:57
152,Wood,23,3,30,0.93,2023-07-22 11:37:10
153,Wood,20,1,28,0.7,2023-07-23 05:26:57
154,Carpet,33,4,21,1.44,2023-07-21 21:40:59
155,Carpet,38,5,21,1.33,2023-07-23 01:41:28
156,Carpet,22,3,24,0.77,2023-07-20 11:51:38
157,Tile,20,3,31,0.84,2023-07-21 15:11:01
158,Carpet,20,5,32,0.7,2023-07-21 07:29:32
159,Carpet,20,4,32,0.77,2023-07-23 12:45:34
160,Concrete,26,5,24,1.11,2023-07-22 18:25:33
161,Concrete,29,4,25,1.27,2023-07-22 21:36:02
162,Wood,33,3,19,1.16,2023-07-21 05:45:15
163,Wood,21,1,18,1.2,2023-07-20 11:36:29
164,Carpet,24,3,23,1.17,2023-07-23 22:35:31
165,Carpet,26,3,26,1.29,2023-07-22 10:44:43
166,Tile,33,4,26,1.3,2023-07-24 10:20:24
167,Tile,28,3,28,1.2,2023-07-22 01:08:03
168,Wood,35,1,18,1.45,2023-07-22 09:35:50
169,Wood,30,3,27,1.35,2023-07-24 03:34:32
170,Tile,40,2,16,1.51,2023-07-22 23:45:35
171,Carpet,20,5,32,0.7,2023-07-21 17:12:30
172,Carpet,27,4,27,1.01,2023-07-21 18:07:36
173,Tile,31,3,18,1.12,2023-07-23 01:44:57
174,Wood,21,2,27,0.7,2023-07-20 13:58:16
175,Wood,21,5,31,0.67,2023-07-21 16:54:05
176,Carpet,20,2,19,0.84,2023-07-21 05:29:55
177,Wood,38,2,17,1.47,2023-07-21 13:48:15
178,Wood,27,4,29,0.78,2023-07-20 14:20:36
179,Carpet,24,2,26,1.45,2023-07-23 19:12:34
180,Wood,32,2,17,1.13,2023-07-20 16:47:17
181,Tile,33,5,31,1.31,2023-07-24 08:16:17
182,Concrete,23,3,29,1.25,2023-07-23 04:14:23
183,Concrete,28,3,16,1.09,2023-07-20 17:41:47
184,Tile,26,5,24,0.87,2023-07-24 00:51:35
185,Tile,28,5,30,0.69,2023-07-22 21:48:10
186,Wood,27,3,23,0.93,2023-07-21 23:05:39
187,Tile,21,1,20,1.08,2023-07-21 01:40:33
188,Tile,33,1,16,1.44,2023-07-20 10:23:04
189,Carpet,30,5,25,1.02,2023-07-23 17:35:25
190,Tile,22,2,19,0.91,2023-07-21 03:13:36
191,Concrete,23,4,29,0.87,2023-07-20 12:40:01
192,Wood,30,5,30,0.85,2023-07-21 07:16:39
193,Carpet,21,2,24,1.22,2023-07-20 17:45:50
194,Wood,22,3,29,0.94,2023-07-22 13:53:13
195,Tile,33,2,21,1.43,2023-07-22 04:44:51
196,Tile,27,4,29,1.18,2023-07-21 10:23:16
197,Tile,24,3,23,1.08,2023-07-20 12:27:50
198,Wood,35,5,20,0.87,2023-07-22 11:51:45
199,Carpet,28,2,22,1.05,2023-07-20 14:28:43
200,Wood,32,5,25,0.82,2023-07-21 18:55:42
201,Wood,32,2,22,1.58,2023-07-24 11:15:00
202,Wood,22,4,30,0.77,2023-07-21 17:18:02
203,Tile,20,4,32,0.68,2023-07-23 15:30:36
204,Wood,23,5,31,0.75,2023-07-23 20:04:58
205,Tile,25,5,31,0.68,2023-07-23 06:20:06
206,Tile,37,4,23,1.01,2023-07-21 10:03:40
207,Tile,40,3,15,1.59,2023-07-20 15:24:43
208,Wood,35,1,17,1.55,2023-07-21 03:20:11
209,Tile,24,4,29,0.84,2023-07-21 19:39:21
210,Wood,25,2,20,1.14,2023-07-23 00:18:01
211,Tile,23,5,31,0.79,2023-07-22 07:48:11
212,Tile,20,3,32,0.69,2023-07-20 13:42:27
213,Wood,39,3,18,1.17,2023-07-20 11:47:12
214,Wood,31,2,19,1.29,2023-07-22 21:41:20
215,Carpet,28,2,16,1.39,2023-07-22 13:20:46
216,Carpet,26,4,24,1.05,2023-07-22 03:16:34
217,Wood,27,3,23,0.94,2023-07-20 12:52:12
218,Tile,28,4,27,1.04,2023-07-21 15:37:25
219,Tile,28,4,25,0.86,2023-07-22 07:51:38
220,Carpet,30,2,16,1.52,2023-07-23 15:06:29
221,Concrete,20,3,26,0.94,2023-07-21 01:41:35
222,Tile,28,3,28,1.4,2023-07-22 21:21:50
223,Tile,20,2,26,0.7,2023-07-21 04:44:00
224,Tile,20,4,31,0.7,2023-07-22 04:31:05
225,Wood,29,3,21,1.08,2023-07-21 22:02:18
226,Tile,21,5,31,0.83,2023-07-22 03:00:35
227,Carpet,37,5,29,1.1,2023-07-23 03:12:58
228,Carpet,20,3,31,0.68,2023-07-21 01:01:50
229,Concrete,40,1,15,1.6,2023-07-24 08:56:39
230,Wood,20,5,32,0.67,2023-07-20 23:07:33
231,Wood,40,2,18,1.55,2023-07-22 05:06:09
232,Tile,21,5,31,0.68,2023-07-23 15:17:02
233,Carpet,20,5,32,0.67,2023-07-21 14:15:26
234,Carpet,21,2,24,0.89,2023-07-21 17:51:35
235,Wood,33,5,27,0.96,2023-07-24 05:21:32
236,Tile,21,1,18,1.5,2023-07-23 10:42:50
237,Tile,26,3,23,1.36,2023-07-21 17:16:45
238,Carpet,25,3,25,1.02,2023-07-20 11:48:18
239,Wood,32,5,24,0.75,2023-07-23 05:55:50
240,Tile,29,1,16,1.53,2023-07-22 01:08:34
241,Carpet,38,1,15,1.59,2023-07-21 05:09:28
242,Tile,21,2,26,0.75,2023-07-22 09:37:55
243,Tile,20,2,30,0.92,2023-07-22 05:13:23
244,Carpet,23,5,31,0.82,2023-07-23 04:09:51
245,Concrete,24,4,25,1.35,2023-07-24 10:41:09
246,Tile,22,5,31,0.68,2023-07-21 09:33:56
247,Wood,20,4,31,0.67,2023-07-22 02:37:22
248,Tile,28,3,18,1.03,2023-07-20 21:37:43
249,Concrete,21,3,24,1.14,2023-07-24 11:15:00
250,Carpet,21,3,31,0.93,2023-07-21 08:19:19
251,Carpet,20,5,32,0.67,2023-07-23 12:05:51
252,Wood,20,2,31,0.74,2023-07-21 17:54:49
253,Tile,22,5,32,0.68,2023-07-22 12:22:21
254,Carpet,21,5,32,0.71,2023-07-22 20:29:57
255,Tile,29,3,21,1.42,2023-07-22 10:11:59
256,Tile,36,5,22,1.16,2023-07-21 06:33:43
257,Tile,20,3,32,0.77,2023-07-21 19:00:28
258,Wood,21,3,31,0.76,2023-07-23 19:34:42
259,Tile,30,3,17,1.06,2023-07-23 19:47:16
260,Wood,20,4,31,0.68,2023-07-22 03:55:01
261,Wood,35,5,27,1.25,2023-07-22 22:20:55
262,Carpet,34,3,18,1.19,2023-07-23 03:15:05
263,Carpet,35,5,27,1.29,2023-07-21 13:11:19
264,Concrete,21,4,31,0.92,2023-07-22 08:00:42
265,Carpet,20,1,31,0.7,2023-07-20 16:57:01
266,Wood,25,3,30,0.96,2023-07-22 15:26:21
267,Wood,27,2,20,1.36,2023-07-22 16:45:09
268,Carpet,20,4,30,0.7,2023-07-23 14:03:54
269,Tile,23,2,23,1.0,2023-07-20 16:10:02
270,Carpet,32,4,24,1.2,2023-07-20 21:25:26
271,Wood,30,5,23,1.1,2023-07-24 11:15:00
272,Tile,25,2,26,1.43,2023-07-23 08:23:26
273,Tile,35,3,17,1.19,2023-07-21 14:20:44
274,Carpet,22,3,26,0.81,2023-07-21 15:49:05
275,Wood,21,2,28,1.0,2023-07-23 18:51:31
276,Tile,20,3,31,0.79,2023-07-20 14:18:39
277,Wood,40,2,15,1.57,2023-07-22 19:43:07
278,Wood,26,2,20,1.19,2023-07-24 08:03:16
279,Wood,20,3,30,0.72,2023-07-21 14:20:52
280,Wood,36,5,30,0.72,2023-07-21 05:28:13
281,Tile,27,4,22,1.16,2023-07-22 14:10:25
282,Wood,34,1,15,1.56,2023-07-23 23:44:47
283,Carpet,24,5,27,0.74,2023-07-21 02:33:35
284,Wood,31,5,30,0.79,2023-07-21 22:40:51
285,Carpet,20,4,31,0.7,2023-07-21 08:54:16
286,Wood,33,2,19,1.31,2023-07-22 22:16:57
287,Carpet,29,4,24,0.97,2023-07-21 09:29:09
288,Wood,20,3,32,0.72,2023-07-21 11:13:57
289,Concrete,25,5,26,0.92,2023-07-22 00:16:09
290,Wood,22,5,31,0.68,2023-07-20 16:47:30
291,Tile,20,3,30,0.69,2023-07-20 22:45:28
292,Tile,40,4,16,1.59,2023-07-23 23:55:09
293,Concrete,24,4,27,1.22,2023-07-22 11:08:37
294,Wood,27,4,27,0.96,2023-07-23 07:35:10
295,Tile,40,4,17,1.5,2023-07-23 15:51:56
296,Tile,32,5,31,0.79,2023-07-20 19:11:21
297,Tile,23,3,24,1.05,2023-07-22 03:00:18
298,Tile,23,2,27,0.93,2023-07-21 12:44:19
299,Wood,20,5,32,0.67,2023-07-23 15:42:17
300,Wood,29,2,25,1.01,2023-07-23 02:13:11
301,Tile,40,1,15,1.6,2023-07-22 08:33:51
302,Tile,29,3,19,1.2,2023-07-22 00:50:43
303,Wood,23,2,24,0.79,2023-07-21 06:32:16
304,Carpet,29,4,26,1.1,2023-07-22 15:49:26
305,Tile,24,4,31,0.76,2023-07-20 09:34:18
306,Wood,22,3,29,0.78,2023-07-23 01:00:18
307,Carpet,25,5,31,0.77,2023-07-23 07:19:23
308,Wood,20,3,29,0.67,2023-07-20 22:58:58
309,Wood,28,2,17,0.97,2023-07-21 08:23:47
310,Tile,38,4,19,1.21,2023-07-21 02:13:55
311,Tile,30,4,27,1.23,2023-07-22 17:16:55
312,Carpet,35,2,22,1.5,2023-07-21 03:32:04
313,Tile,20,2,26,0.8,2023-07-20 16:50:17
314,Wood,27,1,18,1.22,2023-07-21 23:09:57
315,Carpet,22,4,25,1.28,2023-07-23 18:58:32
316,Tile,25,2,25,1.2,2023-07-22 12:01:24
317,Tile,25,2,20,1.24,2023-07-20 17:35:28
318,Wood,31,1,17,1.47,2023-07-20 15:07:26
319,Carpet,26,2,19,1.12,2023-07-21 16:10:42
320,Tile,20,2,25,0.94,2023-07-21 15:29:46
321,Tile,20,1,17,1.17,2023-07-23 20:15:23
322,Carpet,22,2,18,1.17,2023-07-21 21:36:06
323,Carpet,25,5,20,0.78,2023-07-21 22:06:24
324,Tile,23,4,24,0.84,2023-07-21 07:45:49
325,Concrete,22,3,25,0.91,2023-07-20 15:04:41
326,Tile,23,3,27,1.08,2023-07-24 08:05:54
327,Tile,33,2,18,1.38,2023-07-20 12:15:16
328,Wood,22,4,29,0.69,2023-07-22 00:42:57
329,Concrete,29,5,25,1.17,2023-07-24 04:44:08
330,Carpet,21,2,20,0.87,2023-07-21 11:20:33
331,Carpet,20,4,32,0.67,2023-07-20 15:08:22
332,Wood,32,2,21,1.11,2023-07-21 10:20:06
333,Concrete,27,2,19,1.32,2023-07-21 19:49:22
334,Wood,26,1,21,1.32,2023-07-20 22:04:06
335,Tile,26,1,16,1.56,2023-07-22 18:19:22
336,Wood,23,2,19,0.91,2023-07-22 12:44:37
337,Tile,23,2,19,0.79,2023-07-21 10:03:42
338,Carpet,21,3,31,0.74,2023-07-20 15:50:30
339,Carpet,39,1,15,1.58,2023-07-22 21:32:58
340,Wood,20,3,32,0.73,2023-07-23 15:38:52
341,Carpet,20,2,28,0.76,2023-07-21 09:34:06
342,Tile,20,3,28,0.75,2023-07-21 21:36:18
343,Tile,28,1,15,1.56,2023-07-23 04:23:17
344,Wood,22,3,30,0.87,2023-07-20 19:26:02
345,Wood,31,1,18,1.56,2023-07-21 16:03:31
346,Tile,35,4,24,1.13,2023-07-21 23:54:28
347,Tile,21,2,30,1.08,2023-07-21 12:57:02
348,Concrete,21,4,30,0.92,2023-07-23 15:58:41
349,Carpet,26,4,27,1.24,2023-07-21 05:32:13
350,Concrete,20,5,32,0.76,2023-07-24 11:15:00
351,Wood,25,1,16,1.08,2023-07-23 22:56:15
352,Tile,40,3,19,1.42,2023-07-21 04:37:42
353,Wood,31,3,22,1.18,2023-07-23 19:30:18
354,Wood,20,2,28,0.72,2023-07-22 21:37:53
355,Wood,34,4,17,1.29,2023-07-21 17:30:30
356,Concrete,27,4,27,1.17,2023-07-22 02:29:35
357,Wood,39,2,15,1.26,2023-07-21 17:25:29
358,Wood,33,2,18,1.4,2023-07-23 07:40:21
359,Concrete,27,3,20,1.27,2023-07-22 07:34:02
360,Concrete,24,3,23,1.31,2023-07-22 02:59:26
361,Tile,21,5,31,0.69,2023-07-20 23:45:37
362,Tile,23,2,17,0.91,2023-07-22 04:11:01
363,Wood,40,3,19,1.22,2023-07-20 14:56:55
364,Carpet,31,3,20,1.52,2023-07-24 07:27:36
365,Tile,22,3,24,0.95,2023-07-22 14:20:05
366,Wood,20,3,30,0.86,2023-07-22 21:52:29
367,Wood,22,4,29,0.77,2023-07-22 10:20:56
368,Wood,20,5,30,0.67,2023-07-22 08:43:16
369,Tile,29,5,29,1.0,2023-07-22 10:03:17
370,Tile,27,1,17,1.55,2023-07-24 11:11:55
371,Carpet,25,3,17,1.19,2023-07-23 21:56:59
372,Wood,40,2,16,1.53,2023-07-20 19:39:07
373,Carpet,22,3,22,0.88,2023-07-22 05:27:20
374,Carpet,25,4,25,0.84,2023-07-20 10:13:51
375,Wood,21,1,25,1.01,2023-07-21 03:23:12
376,Carpet,25,4,24,1.08,2023-07-23 03:57:29
377,Tile,28,2,20,1.07,2023-07-21 00:59:09
378,Wood,40,4,22,1.54,2023-07-24 11:15:00
379,Carpet,29,4,27,1.33,2023-07-23 11:09:55
380,Wood,21,5,32,0.67,2023-07-20 10:53:57
381,Wood,21,5,31,0.69,2023-07-22 23:48:17
382,Wood,34,3,25,1.39,2023-07-24 05:24:18
383,Carpet,37,2,21,1.57,2023-07-21 17:37:42
384,Wood,21,2,26,1.09,2023-07-21 13:55:22
385,Tile,24,3,28,1.2,2023-07-23 20:56:45
386,Wood,29,1,16,1.52,2023-07-24 08:12:37
387,Tile,22,2,23,1.07,2023-07-23 00:00:45
388,Tile,22,5,27,0.76,2023-07-21 01:41:43
389,Wood,34,4,25,0.86,2023-07-20 11:08:35
390,Carpet,33,1,16,1.47,2023-07-20 18:31:18
391,Wood,20,4,30,0.67,2023-07-20 12:09:46
392,Tile,32,2,19,1.17,2023-07-20 23:54:35
393,Wood,35,4,17,0.96,2023-07-22 01:49:35
394,Concrete,21,3,24,0.97,2023-07-21 01:31:05
395,Wood,23,4,30,0.89,2023-07-23 10:45:32
396,Carpet,28,3,21,1.39,2023-07-24 06:48:29
397,Wood,32,3,21,1.28,2023-07-22 02:32:40
398,Tile,39,3,21,1.51,2023-07-21 07:13:27
399,Wood,22,2,27,0.93,2023-07-23 10:14:33
400,Concrete,27,5,30,0.91,2023-07-21 13:56:59
401,Carpet,25,4,19,0.95,2023-07-21 23:57:40
402,Tile,22,5,32,0.75,2023-07-24 05:52:11
403,Wood,22,2,19,0.79,2023-07-21 21:01:30
404,Wood,25,1,22,0.95,2023-07-20 21:07:48
405,Carpet,27,2,18,1.42,2023-07-24 08:44:25
406,Carpet,29,3,27,1.36,2023-07-22 19:36:19
407,Wood,24,5,32,0.69,2023-07-22 00:38:50
408,Carpet,25,3,28,1.37,2023-07-23 14:39:48
409,Tile,27,5,25,1.04,2023-07-24 04:21:33
410,Wood,25,3,28,0.71,2023-07-20 09:46:20
411,Wood,30,3,25,0.85,2023-07-20 21:37:26
412,Tile,32,3,24,1.44,2023-07-22 12:49:40
413,Tile,21,2,22,0.81,2023-07-21 01:20:56
414,Carpet,20,5,32,0.68,2023-07-23 18:02:00
415,Tile,20,4,29,0.72,2023-07-21 15:57:21
416,Wood,22,2,26,0.83,2023-07-21 11:03:10
417,Carpet,23,4,22,1.1,2023-07-22 14:21:01
418,Wood,23,4,29,0.7,2023-07-20 12:31:13
419,Tile,31,4,27,1.04,2023-07-21 10:49:49
420,Tile,30,3,27,1.39,2023-07-21 19:59:53
421,Carpet,26,3,21,1.14,2023-07-22 23:14:03
422,Wood,22,4,23,1.06,2023-07-24 11:15:00
423,Tile,21,4,30,0.7,2023-07-21 03:36:22
424,Tile,25,4,28,0.78,2023-07-23 04:54:33
425,Tile,25,3,20,1.12,2023-07-23 06:15:48
426,Carpet,37,4,19,1.31,2023-07-23 11:58:59
427,Wood,32,1,17,1.52,2023-07-23 15:34:13
428,Carpet,39,3,17,1.51,2023-07-21 06:45:44
429,Wood,33,5,29,0.83,2023-07-22 17:45:49
430,Tile,21,4,27,0.72,2023-07-22 08:26:25
431,Wood,27,1,17,1.02,2023-07-20 09:31:50
432,Concrete,30,4,21,1.28,2023-07-24 07:13:24
433,Carpet,38,1,15,1.59,2023-07-20 15:03:20
434,Carpet,20,4,31,0.78,2023-07-20 20:00:38
435,Wood,25,1,20,1.32,2023-07-21 16:52:19
436,Wood,20,5,32,0.67,2023-07-22 08:41:10
437,Wood,22,2,26,0.7,2023-07-20 12:07:41
438,Tile,23,2,20,1.07,2023-07-20 19:34:02
439,Concrete,29,4,27,1.41,2023-07-21 22:58:17
440,Tile,30,5,31,0.76,2023-07-22 15:46:23
441,Concrete,31,5,28,0.92,2023-07-21 09:07:17
442,Tile,21,4,31,0.72,2023-07-23 11:57:03
443,Carpet,40,4,18,1.58,2023-07-22 08:12:49
444,Tile,32,4,22,1.18,2023-07-21 10:45:18
445,Tile,23,3,25,1.18,2023-07-22 06:38:18
446,Tile,20,3,30,0.79,2023-07-23 14:08:30
447,Tile,21,2,24,0.91,2023-07-21 19:17:53
448,Tile,25,3,28,0.98,2023-07-20 12:20:42
449,Wood,21,4,29,0.76,2023-07-21 21:33:37
450,Tile,37,4,22,1.41,2023-07-22 04:43:54
451,Carpet,34,2,16,1.56,2023-07-24 11:09:52
452,Carpet,29,3,20,1.44,2023-07-22 08:31:18
453,Tile,21,2,25,1.28,2023-07-23 16:05:19
454,Tile,21,4,29,0.7,2023-07-23 16:19:37
455,Concrete,20,5,28,0.7,2023-07-21 08:35:17
456,Carpet,20,3,32,0.7,2023-07-21 08:10:49
457,Wood,30,2,19,1.41,2023-07-23 07:23:56
458,Carpet,21,3,29,1.31,2023-07-24 09:33:56
459,Wood,31,3,20,1.08,2023-07-24 03:41:45
460,Wood,27,4,29,0.83,2023-07-20 17:22:39
461,Tile,22,3,25,0.94,2023-07-21 22:41:16
462,Carpet,23,4,25,0.97,2023-07-22 11:19:09
463,Concrete,23,3,25,1.27,2023-07-23 17:04:55
464,Tile,20,3,27,0.73,2023-07-23 05:24:49
465,Concrete,39,3,15,1.59,2023-07-24 04:47:59
466,Wood,30,2,21,1.18,2023-07-22 20:54:51
467,Tile,27,1,16,1.23,2023-07-22 08:23:21
468,Concrete,36,3,22,1.53,2023-07-23 22:00:05
469,Carpet,40,1,15,1.6,2023-07-24 04:08:44
470,Tile,25,1,17,1.54,2023-07-21 23:08:45
471,Carpet,25,1,19,1.1,2023-07-20 15:49:23
472,Wood,31,5,29,0.91,2023-07-24 02:21:19
473,Tile,21,4,29,0.72,2023-07-22 01:12:06
